,AverageTemperature,rolling_mean,rolling_std
1900-01-01,14.322,20.261166666666668,4.618084113437925
1900-02-01,15.861,20.355666666666668,4.504755191276569
1900-03-01,17.122,20.432333333333336,4.434924747405685
1900-04-01,18.581000000000003,20.477833333333333,4.410828799326671
1900-05-01,22.13,20.52841666666667,4.427353969838226
1900-06-01,23.684,20.49741666666667,4.401636316774863
1900-07-01,25.939,20.526500000000002,4.4393355256266425
1900-08-01,26.692,20.574083333333334,4.50729195976985
1900-09-01,24.371,20.436083333333332,4.347687336302174
1900-10-01,23.72,20.51875,4.404289832858193
1900-11-01,20.078,20.63175,4.371271712712848
1900-12-01,16.221999999999998,20.726833333333335,4.250291537237772
1901-01-01,13.02,20.618333333333336,4.44099582062264
1901-02-01,16.456,20.667916666666667,4.386033400741964
1901-03-01,18.22,20.759416666666667,4.316232394500233
1901-04-01,19.012,20.795333333333332,4.298212828042767
1901-05-01,20.677,20.674249999999997,4.277612994628905
1901-06-01,23.989,20.699666666666666,4.2979796804234915
1901-07-01,26.211,20.722333333333335,4.3287300118107845
1901-08-01,26.813,20.732416666666666,4.344013842651909
1901-09-01,25.628,20.837166666666665,4.453505214656157
1901-10-01,23.915,20.853416666666664,4.465320480371384
1901-11-01,19.998,20.84675,4.466642935543007
1901-12-01,16.684,20.88525,4.424952780949899
1902-01-01,13.755999999999998,20.946583333333333,4.309621212174467
1902-02-01,16.664,20.963916666666666,4.290293070267783
1902-03-01,16.461000000000002,20.817333333333334,4.420634473864021
1902-04-01,18.616000000000003,20.784333333333333,4.436785001723097
1902-05-01,21.619,20.862833333333334,4.4430422999097985
1902-06-01,22.965,20.7775,4.387023001783976
1902-07-01,25.216,20.694583333333334,4.283165109595995
1902-08-01,26.282,20.650333333333332,4.2164315229680485
1902-09-01,26.0,20.68133333333333,4.257522526141926
1902-10-01,23.902,20.68025,4.256626473137859
1902-11-01,19.061,20.602166666666665,4.278815677972174
1902-12-01,14.387,20.410750000000004,4.514899397348925
1903-01-01,13.035,20.35066666666667,4.615193807283475
1903-02-01,13.746,20.107499999999998,4.89545896260456
1903-03-01,15.53,20.02991666666667,4.965380301434992
1903-04-01,18.315,20.004833333333334,4.973925152657837
1903-05-01,21.227,19.972166666666666,4.963636841769305
